GENEID,transcript count
ENSMUSG00000002820.7,4
ENSMUSG00000002825.9,10
ENSMUSG00000002831.15,3
ENSMUSG00000002833.12,12
ENSMUSG00000002835.10,3
ENSMUSG00000002844.10,2
ENSMUSG00000002845.15,7
ENSMUSG00000002846.10,2
ENSMUSG00000002847.8,1
ENSMUSG00000002870.9,3
ENSMUSG00000002871.15,17
ENSMUSG00000002881.15,3
ENSMUSG00000002885.15,6
ENSMUSG00000002897.6,2
ENSMUSG00000002900.18,5
ENSMUSG00000002908.18,6
ENSMUSG00000002910.12,4
ENSMUSG00000002930.7,1
ENSMUSG00000002944.16,6
ENSMUSG00000002948.20,10
ENSMUSG00000002949.16,9
ENSMUSG00000002957.12,3
ENSMUSG00000002963.18,15
ENSMUSG00000002968.10,13
ENSMUSG00000002980.15,2
ENSMUSG00000002981.11,7
ENSMUSG00000002983.18,8
ENSMUSG00000002984.18,5
ENSMUSG00000002985.17,11
ENSMUSG00000002992.18,2
ENSMUSG00000002996.18,9
ENSMUSG00000002997.16,3
ENSMUSG00000003031.15,3
ENSMUSG00000003032.9,1
ENSMUSG00000003033.16,7
ENSMUSG00000003037.17,3
ENSMUSG00000003038.16,13
ENSMUSG00000003039.10,2
ENSMUSG00000003051.14,2
ENSMUSG00000003062.14,10
ENSMUSG00000003068.18,9
ENSMUSG00000003070.7,1
ENSMUSG00000003072.16,4
ENSMUSG00000003099.12,11
ENSMUSG00000003119.15,4
ENSMUSG00000003123.16,6
ENSMUSG00000003131.8,8
ENSMUSG00000003134.11,4
ENSMUSG00000003135.16,4
ENSMUSG00000003153.11,6
ENSMUSG00000003154.16,3
ENSMUSG00000003161.16,6
ENSMUSG00000003166.21,9
ENSMUSG00000003184.16,13
ENSMUSG00000003190.13,2
ENSMUSG00000003198.11,3
ENSMUSG00000003199.17,9
ENSMUSG00000003200.11,3
ENSMUSG00000003206.8,1
ENSMUSG00000003208.10,4
ENSMUSG00000003226.8,2
ENSMUSG00000003227.5,1
ENSMUSG00000003228.10,3
ENSMUSG00000003233.13,4
ENSMUSG00000003234.17,9
ENSMUSG00000003235.14,3
ENSMUSG00000003269.19,10
ENSMUSG00000003271.18,7
ENSMUSG00000003273.15,5
ENSMUSG00000003279.18,20
ENSMUSG00000003282.10,4
ENSMUSG00000003283.16,3
ENSMUSG00000003299.11,7
ENSMUSG00000003308.16,6
ENSMUSG00000003309.15,4
ENSMUSG00000003316.15,4
ENSMUSG00000003341.10,1
ENSMUSG00000003344.16,4
ENSMUSG00000003345.17,7
ENSMUSG00000003346.15,3
ENSMUSG00000003348.11,3
ENSMUSG00000003352.15,7
ENSMUSG00000003354.7,2
ENSMUSG00000003355.8,3
ENSMUSG00000003360.16,7
ENSMUSG00000003363.16,8
ENSMUSG00000003378.10,6
ENSMUSG00000003379.8,1
